antibody_name,Score
belantamab,0.5859
certolizumab,0.4283
bimagrumab,0.3222
gantenerumab,0.6789
lucatumumab,0.587
bapineuzumab,0.4162
etrolizumab,0.4999
rinucumab,0.7331
tovetumab,0.5433
milatuzumab,0.7928
cetuximab,0.4187
cixutumumab,0.4752
durvalumab,0.313
fletikumab,0.4892
rontalizumab,0.4472
pidilizumab,0.6508
oleclumab,0.6487
itolizumab,0.6986
abrezekimab,0.606
omburtamab,0.4533
burosumab,0.4443
eculizumab,0.5248
daclizumab,0.474
cabiralizumab,0.5299
toripalimab,0.4838
atezolizumab,0.2465
dalotuzumab,0.4673
reslizumab,0.5403
enokizumab,0.6215
fresolimumab,0.6078
prasinezumab,0.5026
parsatuzumab,0.5737
necitumumab,0.3228
galcanezumab,0.7124
zanolimumab,0.2446
fasinumab,0.5393
erenumab,0.4194
epratuzumab,0.5157
radretumab,0.3793
imgatuzumab,0.5117
mitazalimab,0.5823
tanezumab,0.5061
tisotumab,0.4653
prolgolimab,0.7815
codrituzumab,0.4749
spartalizumab,0.7153
siltuximab,0.5003
bimekizumab,0.8582
vatelizumab,0.8239
vedolizumab,0.5884
efalizumab,0.3772
dacetuzumab,0.6604
brontictuzumab,0.6063
selicrelumab,0.4613
tregalizumab,0.6992
abrilumab,0.3819
sarilumab,0.3551
natalizumab,0.4136
golimumab,0.368
tezepelumab,0.4592
racotumomab,0.3198
fezakinumab,0.5323
vadastuximab,0.3856
etaracizumab,0.6292
robatumumab,0.5435
adalimumab,0.3916
sifalimumab,0.2522
elezanumab,0.5913
gemtuzumab,0.7711
inebilizumab,0.583
rituximab,0.4116
domagrozumab,0.3051
opicinumab,0.3881
lanadelumab,0.4353
tavolimab,0.5901
telisotuzumab,0.5401
fremanezumab,0.9131
eptinezumab,0.7842
foralumab,0.2493
gevokizumab,0.5178
ianalumab,0.6635
ustekinumab,0.6199
abagovomab,0.6869
